"App","Obfuscator","M_types","M_methods","M_IL","M_strings","M_size","Size_ref","Size_obf","Hal_Volume","Hal_Difficulty","Hal_Effort","Hal_Vol_ratio","Hal_Diff_ratio","Hal_Eff_ratio","CC_avg","CC_max","CC_ratio","Ent_type","Ent_method","Deobf_score"
"CliApp","obfuscar","1,125","3,56","2,157","0","0,071","14336","15360","18584,8","99,2","1843659","2,203","1,320","2,908","3,09","17","0,931","3,17","5,586","0,332"
"CliApp","eazfuscator","2,375","1,72","3,141","0","0,5","14336","21504","27256,3","119,2","3248191","3,232","1,586","5,123","5,306","55","1,598","4,248","2,415","0,326"
"CliApp","reactor","1,625","4,8","13,413","0,311","3,679","14336","67072","148051,7","244,7","36228013","17,553","3,255","57,140","11,05","342","3,328","3,7","6,755","0,834"
"AlgorithmLib","obfuscar","1,143","1,517","1,255","0","0","10752","10752","9916,0","77,6","769896","1,326","1,247","1,654","3,477","8","0,934","3","3,986","0,421"
"AlgorithmLib","eazfuscator","2,571","1,621","2,785","0","0,714","10752","18432","25747,5","108,3","2789664","3,443","1,740","5,992","5,4","55","1,450","4,17","2,616","0,413"
"AlgorithmLib","reactor","1,714","4,379","11,372","1,077","4,524","10752","59392","146051,8","242,2","35374867","19,528","3,891","75,985","10,882","317","2,922","3,585","6,724","0,921"
"ClassLibrary","obfuscar","1,2","1,414","1,47","0","0","10240","10240","5557,1","46,5","258250","1,501","1,581","2,373","2,951","7","1,007","2,585","2,718","0,438"
"ClassLibrary","eazfuscator","3","1,586","4,807","0","0,75","10240","17920","20573,1","96,0","1975730","5,558","3,264","18,151","4,615","55","1,575","3,907","4,577","0,96"
"ClassLibrary","reactor","2","3,931","21,738","1,556","4,35","10240","54784","123556,0","211,5","26128248","33,382","7,192","240,040","9,544","333","3,256","3,322","6,7","0,96"
"WebApi","obfuscar","1,091","1,315","1,35","0","-0,065","15872","14848","12766,3","64,9","828879","1,414","1,294","1,830","2,674","9","1,044","3,585","3,469","0,358"
"WebApi","eazfuscator","2","1,247","2,641","0","0,452","15872","23040","27467,2","103,4","2839279","3,042","2,062","6,269","3,597","55","1,405","4,459","5,331","0,913"
"WebApi","reactor","1,455","2,452","10,723","0,667","3,065","15872","64512","147662,1","228,3","33706742","16,351","4,552","74,425","8,355","339","3,262","4","7,11","0,928"
"DesktopApp","obfuscar","1,167","1,595","1,488","0","-0,038","13312","12800","9804,1","65,3","640329","1,551","1,423","2,207","2,831","9","1,037","2,807","3,724","0,378"
"DesktopApp","eazfuscator","2,667","1,459","3,317","0","0,462","13312","19456","23678,9","98,1","2323179","3,745","2,138","8,008","4,213","55","1,543","4","2,038","0,378"
"DesktopApp","reactor","1,833","4,162","14,565","0,7","3,462","13312","59392","137076,4","224,6","30787336","21,679","4,895","106,123","8,597","326","3,149","3,459","7,146","0,892"
